Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DOT1L DELETION MOUSE GSE25911 CREEDSID GENE 455 UP	23/220	4.65786267984193E-4	0.0012227696624697378	0	0	2.3166945702930684	17.773179599269483	CSTB;GINS2;RNASEH2C;KMT2D;CENPV;PSMD14;RPL31;DHX9;SMARCA5;RFLNB;NUCKS1;PRPF19;ACTB;TMEM154;TUBA1B;PSMB4;NCL;NDUFAF2;ERH;KIF20A;ANP32B;PTMA;ATG2B
PGR KO MOUSE GSE39920 CREEDSID GENE 3078 UP	25/248	4.6754801035490745E-4	0.0012227696624697378	0	0	2.2261709149970876	17.070297539972795	COX7B;TMED10;RTL6;SLC9A3R1;GJA1;TUBA1B;TRIM28;YWHAQ;CFL1;ELOB;SPTSSA;PLA2G12A;ATP5F1E;EPN1;ATOX1;NSA2;NDUFS6;SRSF2;RSRP1;ERH;ANP32B;PABPC1;TOP1;SNRPB;MXD4
LHX1 KO MOUSE GSE7257 CREEDSID GENE 325 DOWN	25/248	4.6754801035490745E-4	0.0012227696624697378	0	0	2.2261709149970876	17.070297539972795	HDAC2;PSMD14;RPL31;HMGB1;PRPF19;PSMA7;PSMB4;CHCHD2;DHX15;BRIX1;SPTSSA;ARGLU1;EGR1;SMIM15;THAP12;DONSON;HSPE1;RPS25;TSR1;SRSF3;CYCS;UQCRC2;ANP32B;LZTR1;MAD2L1
POU1F1 OE HUMAN GSE64101 CREEDSID GENE 2931 DOWN	25/248	4.6754801035490745E-4	0.0012227696624697378	0	0	2.2261709149970876	17.070297539972795	RPL31;NEDD8;COX7C;MRPL3;ATP5MG;POLR2K;TIMM8B;GSTM3;GINS2;NDUFA6;XRCC5;UQCC2;TMA7;MRPS7;LSM3;TDRD3;EEF1A1;RPS25;MYL6;UQCRQ;CKS2;ERH;EIF3E;UQCRC2;SLC25A5
TAL1 KO MOUSE GSE46970 CREEDSID GENE 1447 DOWN	24/234	4.6876259003894664E-4	0.001224304970771064	0	0	2.2685955394816153	17.389724286107814	PPP1R15A;EGR1;PSMD14;UTP3;GLRX5;HMGA2;HMGB1;DYNLL2;COX5A;PPM1G;CDC20;RSL1D1;TMEM123;PRKAR2B;C1QBP;NCL;DHX15;CKS2;ANP32B;SNRPF;DNAJC8;MCM6;PTMA;HNRNPA0
FOXA1 KD HUMAN GSE25315 CREEDSID GENE 2164 DOWN	29/306	4.817175961500475E-4	0.0012564585963753246	0	0	2.081761487839333	15.900811745477021	FEN1;RNASEH2A;KIF14;KIF11;CDC20;PAGR1;EBP;STC2;SLC39A6;ZNF689;NR2C2AP;GINS2;RMI2;RFC3;PARP1;TUBG1;TUBB4B;CCNA2;ASPM;BAMBI;SHPK;KIF4A;CKS2;NCAPD2;KIF20A;MCM6;ITGB3BP;SPC25;MAD2L1
RORA KO MOUSE GSE23736 CREEDSID GENE 1155 DOWN	28/292	4.964713486277618E-4	0.001293211750564437	0	0	2.1081792501284027	16.038995654466355	CSTB;GRN;TMED10;SAR1A;POMP;NEDD8;LAMC1;TUBA1B;EBP;YWHAQ;GNG5;TIMP2;COTL1;PLS3;POLR2G;HMGN2;CTSD;YWHAH;ANXA5;MRPS6;SEM1;SPCS1;COL4A2;COL4A1;HPRT1;SEC22B;ITM2B;PPIC
FOXO1 KD MOUSE GSE6623 CREEDSID GENE 504 DOWN	17/141	4.984602441036381E-4	0.0012966612483282637	0	0	2.7137983448741765	20.63568658274872	YWHAE;FEN1;ENTPD4;NUDT3;EEF1A1;RPS26;RPS25;TSPAN13;TRIM28;RPL36AL;DAD1;CFL1;ELOB;LRRC8A;ITM2B;RPS24;COPS9
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ DOWN	39/458	5.078777075163897E-4	0.0013194000098062267	0	0	1.8564872725598385	14.081956977417464	KMT2D;GRN;TTYH3;ANP32A;MYCBP2;IQGAP1;IFI30;GNS;ACTB;PIK3R5;TMEM123;TUBA1B;CFL1;TIMP2;COTL1;LDLR;CTSC;SRRM2;SPEN;PARP4;TPM3;DHCR24;HLA-A;SREBF2;TGFBR1;SETX;SPCS3;MYL6;MARCKS;MAF;MGAT4A;SLC9A9;PXMP2;MYH9;KCTD12;CALR;TLN1;ITM2B;RPS24
NFE2L2 MUT MOUSE GSE35160 CREEDSID GENE 624 UP	26/264	5.195466622041159E-4	0.00134791959835137	0	0	2.1698616021461437	16.40969538704883	YWHAE;HMGB1;YBX1;ACTB;PSMD8;TUBA1B;ATP5F1B;PCBP1;C1QBP;MAGOH;EGR1;TMA7;PDAP1;DYNLL2;COX6B1;RPS25;MYL6;MARCKS;RNF149;ID4;EIF3E;LAP3;UQCRC2;PABPC1;PTMA;EIF3A
ZFX KO MOUSE GSE7069 CREEDSID GENE 177 DOWN	22/208	5.228884863630266E-4	0.0013547880968051325	0	0	2.345919637804188	17.726102691655356	SRRM2;COX8A;ABCC4;CENPV;NDUFA7;PARP1;GLDC;GSTP1;CISD1;COX7C;COX5A;HIGD2A;SRM;PPM1G;SEM1;TRIM28;RPL36AL;NDUFS6;KLF9;ERH;CYC1;DCTPP1
EZH2 SHRNA HUVEC HUMAN GSE71164 SHEARSTRESS RNASEQ UP	32/352	5.239788554406143E-4	0.001355812661756815	0	0	1.990212765957447	15.034185107717217	NOTCH2;YWHAE;LRRC59;GRN;RAB1B;BRK1;TXN;UCHL1;MAP1LC3B;ATP5F1B;LAMP2;CFL1;TIMP2;CTSD;LDLR;YWHAG;YWHAH;HSPA9;XRCC5;DHCR24;SREBF2;DDOST;EEF1A1;CNIH1;OAF;CDC37;KCTD12;CALR;SELENOT;ITM2B;RAB7A;LIMS1
MEF2A KD MOUSE GSE47150 CREEDSID GENE 957 UP	25/250	5.267462832113666E-4	0.0013593677229436195	0	0	2.206148069928429	16.653751933434933	RNF7;SRM;TUBA1B;ATP5F1B;CFL1;ME1;CYC1;YWHAH;COA3;NDUFA7;NDFIP1;NDUFA6;UQCC2;TMA7;TBCA;ATP5F1E;HIGD2A;EEF1A1;SPCS3;CFDP1;CAT;DNAJA2;UBE2N;SELENOT;RPS24
DOT1L DELETION MOUSE GSE25911 CREEDSID GENE 454 DOWN	25/250	5.267462832113666E-4	0.0013593677229436195	0	0	2.206148069928429	16.653751933434933	YWHAE;BEX3;FEN1;HDAC2;MRPL18;GSTP1;HMGB1;PRPF19;HOXA10;PNN;HOXA9;TUBA1B;PSMB3;SLC39A6;SEPHS2;NOP58;PPP1R14C;CCDC59;CCZ1;PINK1;CNIH1;FRG1;EIF3E;HPRT1;DCTPP1
PRRX1 SIRNA MCF7 HUMAN GSE79586 RNASEQ DOWN	20/181	5.278523447004266E-4	0.0013604226215462778	0	0	2.461897802599301	18.579189285767935	SRRM2;TMED10;CMTM6;TXN;IQGAP1;RTN4;EEF1A1;RPL36AL;SLC39A6;PNPO;EIF4EBP2;SUCLG1;IARS2;NCAPD2;EIF3E;PABPC1;PTMA;ZC3H15;RPS24;RAB7A
SETDB1 KO MOUSE GSE40296 CREEDSID GENE 31 UP	23/222	5.291645729245276E-4	0.0013620053849284347	0	0	2.29316762950686	17.300140621742152	SLC39A11;COX5A;SEM1;PGRMC1;PSMB4;SPCS2;MARCKS;PINK1;SNRNP40;ATP5F1B;SPCS1;RPL36AL;DAD1;SARNP;RAD21;SUMO2;ID4;RNPS1;SNRPF;EEF1E1;ITM2B;RPS24;EIF3A
INSM1 KO MOUSE GSE46139 CREEDSID GENE 2229 UP	27/279	5.384295432361327E-4	0.001384026401651772	0	0	2.128798185941043	16.023152947020385	CSTB;GRN;RPL31;POP4;UQCR10;LAMC1;COX7C;ATP5IF1;SLC9A3R1;PRDX4;ATP5F1B;LAMP2;TIMP2;MSX1;ARGLU1;NDUFA6;ENTPD4;GRHL2;APRT;HIGD2A;TMEM256;COL4A2;COL4A1;MYH9;UQCRC2;RPS24;PPIC
STAT3 SIRNA MDAMB231 HUMAN GSE85579 RNASEQ DOWN	40/475	5.396056496437129E-4	0.0013852245032301104	0	0	1.8344432933747719	13.8035840185202	TTYH3;NUP188;CTBP1;RAB1B;TONSL;NUCKS1;LAMC1;ENO2;SMC3;SOGA1;CDC20;TMEM123;TUBA1B;ATP5F1B;TRIM28;YWHAQ;RAD21;LAMP2;CFL1;TPR;ZNF703;CYP1B1;HMGN2;CTSD;SUPT16H;CAVIN1;HLA-A;TUBB4B;DDOST;SREBF2;EPN1;CCNA2;ASPM;RCN1;NCAPD2;CALR;SNRNP200;PTMA;RABL6;ARF6
ZNF658 KD HUMAN GSE59385 CREEDSID GENE 2923 UP	30/323	5.433566425552534E-4	0.0013930207748032845	0	0	2.036368774591857	15.308900467423241	SRP19;COX7B;TMEM167A;MRPL19;CISD1;HMGB1;IER3IP1;COX5A;PNN;MAP1LC3B;GNG5;ISOC1;CHCHD1;TIMM8B;NDUFA7;UTP3;NDUFA4;GTF3A;TVP23B;HSPE1;LSM3;ATOX1;SRPK1;RPS26;UBLCP1;PSMA2;FRG1;RSRP1;EEF1E1;PTMA
OVOL1 OE MDA HUMAN GSE51975 RNASEQ DOWN	26/265	5.501542864567117E-4	0.001408597129759901	0	0	2.160667686891293	16.21648468251408	PPP1R15A;TEX261;PRPF19;ACTB;RTN4;PPM1G;TUBA1B;TRIM28;YWHAQ;PCBP1;LAMP2;CYP1B1;QSOX1;TEAD1;CTSD;LDLR;TNFRSF12A;PARP1;CAVIN1;DHCR24;TUBB4B;EPN1;COL4A2;SRSF2;MYH9;SNRPB
EHF SIRNA HBE HUMAN GSE85402 RNASEQ DOWN	27/280	5.690588370215508E-4	0.0014550901586226023	0	0	2.1202710333145114	15.841661689500064	YWHAE;ANP32A;RPL31;GHITM;ADH5;RTN4;PDLIM1;ATP5F1B;DNAJB6;RPL36AL;STC2;GLUL;HSPA9;EGR1;PPP1R14C;RPS26;EEF1A1;RSL1D1;NCL;CYCS;EIF3E;ANP32B;CALR;PABPC1;PTMA;ITM2B;RPS24
EZH2 KO MDAMB231 HUMAN GSE72524 RNASEQ DOWN	29/310	5.944078322922612E-4	0.0015179184303693739	0	0	2.05169010842205	15.239841052292846	SLC5A3;RBM3;SLC9A3R1;TUBA1B;YWHAQ;DNAJB6;RPL36AL;LAMP2;TIMP2;PLS3;CTSD;YWHAG;ABCF1;HSPA9;TPM3;EIF1AX;HSPA4;HLA-A;NR2F2;SHISA2;SRPK1;EEF1A1;EIF2S3;KIF4A;SBDS;SRSF3;MYH9;SLC25A5;RBMX
PPARG OE MOUSE GSE2192 CREEDSID GENE 861 DOWN	28/296	6.156422083450293E-4	0.0015700888215439896	0	0	2.0762711864406778	15.349550215913512	CSTB;GRN;SAR1A;SLC44A1;ICE1;NAXE;IGF1R;MAP1LC3B;PRDX4;RMND5A;LAMP2;CTSD;SOX4;GSTM3;NDFIP1;CNPY2;RPS26;EEF1A1;NSA2;MARCKS;RSRP1;GAS1;CPE;PABPC1;TOP1;ITM2B;RPS24;PPIC
JUND SIRNA PC3 HUMAN GSE53470 RNASEQ DOWN	24/239	6.355157040341278E-4	0.0016186568388649914	0	0	2.2152487488960846	16.306609429253793	HSPA9;LRRC59;CPT1A;PPP1R14B;HSBP1;GDF15;ANXA5;DHCR24;HMGB1;EPN1;TMEM123;INF2;ATP5F1B;PNMA1;STC2;RAD21;NCL;COTL1;CCDC86;MYH9;QSOX1;UQCRC2;PABPC1;YWHAG
BNC1 KD MOUSE GSE4029 CREEDSID GENE 97 UP	27/283	6.703034567313782E-4	0.0017050352595605201	0	0	2.0950892857142858	15.310451638228109	CSTB;GRN;TXNDC9;NUP188;ICE1;MRPS31;OSBPL11;PSMB7;LAPTM4B;MAP1LC3B;PSMB4;YWHAQ;DNAJB6;PSMB3;BRIX1;SPTSSA;ATP6V1C1;NFYC;TVP23B;CS;EEF1A1;POLR3A;SUCLA2;BDH1;PPA1;DAD1;RELL1
SRF KO MOUSE GSE7412 CREEDSID GENE 1238 DOWN	22/212	6.771636350946183E-4	0.0017202425157156257	0	0	2.29604432132964	16.755607547340308	PPP1R15A;TIMM8B;EGR1;UVRAG;POP7;GSTP1;TMA7;PRDX6;ACTB;ZFP36L2;RPS26;RPS25;NR4A1;CHCHD2;PCBP1;CFL1;COTL1;TRIM25;ANP32B;PABPC1;DNAJC8;PTMA
NR2F2 KD HUMAN GSE33182 CREEDSID GENE 822 UP	26/269	6.889490478001793E-4	0.0017456358341014933	0	0	2.12464872671591	15.46817199625561	GRN;TMEM167A;ACTB;RTN4;MAP1LC3B;PNMA1;SUMO2;SPIN1;PLS3;SOX4;GSTM3;MARCKSL1;TNFRSF12A;COMMD3;ATOX1;COX6B1;MYL6;PINK1;COL4A2;COL4A1;UQCRC1;TMEM106B;MYH9;CYSTM1;MMADHC;RTL8C
EBF1 OE MOUSE GSE2192 CREEDSID GENE 860 DOWN	26/269	6.889490478001793E-4	0.0017456358341014933	0	0	2.12464872671591	15.46817199625561	SAR1A;SLC44A1;BRK1;ACTB;ATP5IF1;RBM3;KRTCAP2;TUBA1B;PRDX4;TRIM28;YWHAQ;CFL1;ARL6IP5;ZFR;CNPY2;RPS26;DDB1;NSA2;MARCKS;NCL;GAS1;CPE;MYH9;PTMA;ITM2B;RPS24
MYC OE MOUSE GSE27159 CREEDSID GENE 1273 DOWN	20/185	6.979194600110646E-4	0.0017644412866481497	0	0	2.4017061370002546	17.454175628511855	CENPV;FOXG1;CIPC;PCDH7;DHCR24;SEMA3E;LAMC1;IFI30;NID1;HOXA10;SLC9A3R1;HOXA9;COL4A2;COL4A1;HOXB8;HOXC9;HOXC8;HOXA5;HOXB6;HOXB5
EPAS1 KD HUVEC HUMAN GSE62974 RNASEQ UP	30/328	6.988768289068324E-4	0.0017644412866481497	0	0	2.0016671653913565	14.544185767203182	TMEM167A;DDX1;IQGAP1;LAMC1;YBX1;NID1;ACTB;RTN4;MAP1LC3B;TUBA1B;RFK;CFL1;KIF1C;PLS3;QSOX1;SEC62;YWHAG;CAVIN1;ANXA5;HMGA2;IGF2R;SPCS3;COL4A2;COL4A1;MGAT4A;PXMP2;MYH9;TLN1;CRK;RAB7A
STAT3 SIRNA MDAMB468 HUMAN GSE85579 RNASEQ UP	32/358	6.990841181850434E-4	0.0017644412866481497	0	0	1.952956533089675	14.189673389528547	KMT2C;NUCKS1;IQGAP1;SLC5A3;ACTB;RTN4;PDLIM1;TUBA1B;YWHAQ;DNAJB6;PCBP1;CFL1;TIMP2;COTL1;PLS3;MAPK1;QSOX1;GLUL;TEAD1;SOX4;CAVIN1;TPM3;ZFR;EEF1A1;PINK1;INF2;KIF4A;CALR;TOP1;TLN1;PTMA;RABL6
PHF20 SHRNA H1792 HUMAN GSE82115 RNASEQ UP	14/108	7.393699960862556E-4	0.001861304338534561	0	0	2.9435881490694267	21.222423069317667	MARCKSL1;HMGA2;TGFBR1;LAPTM4B;GJA1;RCN1;CNIH1;STC2;SLC39A6;KIF1C;SELENOT;PABPC1;TLN1;SEC22B
MYCN SHRNA IMR575 HUMAN GSE80397 24HR RNASEQ DOWN	14/108	7.393699960862556E-4	0.001861304338534561	0	0	2.9435881490694267	21.222423069317667	HSPA9;GRN;HSPA4;HEATR1;PA2G4;HSPE1;BOP1;RSL1D1;TUBA1B;MTHFD1;NCL;DHX37;UTP20;PABPC1
HNF4A KO MOUSE GSE3126 CREEDSID GENE 195 UP	20/186	7.471749629151556E-4	0.001878528804958078	0	0	2.387111471094462	17.185319589384683	PPP1R15A;GLRX5;GSTP1;TMA7;HMGB1;ACTB;EEF1A1;RPS26;RBM3;CCNA2;PRDX2;TUBA1B;RPL36AL;RAD21;CFL1;SUMO2;CKS2;ANP32B;PTMA;RPS24
SPI1 KD MOUSE GSE5654 CREEDSID GENE 202 UP	23/228	7.665507387904876E-4	0.0019247625371689077	0	0	2.225341180703693	15.963729004982616	FEN1;GSTP1;GTF3A;HMGA2;HSPE1;SRM;PPM1G;DDB1;PRDX2;PSMB4;CHCHD2;ATP5F1B;TRIM28;MTHFD1;PPA1;PSMA2;PSMB3;GNB2;SNRPF;CYC1;CTSD;DCTPP1;SNRPB
CHD1 KD 22RV1 HUMAN GSE84610 RNASEQ UP	25/257	7.887260101968696E-4	0.0019778977453651578	0	0	2.1387867312383935	15.28182702101849	ECHS1;RAB1B;PRPF19;ACTB;PRDX2;TUBA1B;PSMB4;ATP5F1B;TRIM28;CFL1;LRRC8A;CYC1;SOX4;COX8A;PARP1;TUBB4B;SREBF2;RPS26;CS;RPS25;UQCRC1;PTMA;ARF5;SNRPB;RNF187
HNF4A MUT MOUSE GSE3116 CREEDSID GENE 850 UP	23/229	8.139924071900034E-4	0.00203863823674929	0	0	2.2144209029433126	15.752414894935871	YWHAE;BEX3;RPL31;ZC3H3;POMP;HMGA2;ZDHHC8;HMGB1;YBX1;SREBF2;RPS26;DDB1;EEF1A1;RPS25;MYL6;RPL36AL;COL4A1;CFL1;UBE2N;MYH9;DNAJC8;RPS24;SNRPB
ZBTB20 DEFICIENCY MOUSE GSE19513 CREEDSID GENE 544 UP	23/230	8.639570042286314E-4	0.0021582331821383607	0	0	2.2036061351129845	15.54421025105514	YWHAE;SMIM13;MARCKSL1;TTYH3;NDFIP1;FOXG1;CCZ1;TMEM170B;ACTB;RTN4;EEF1A1;TUBA1B;PGRMC1;MARCKS;ATP5F1B;SUMO2;DHX15;ULK2;CPE;RNPS1;KCTD12;PABPC1;HNRNPA0
NFE2L2 DEFICIENCY MOUSE GSE8969 CREEDSID GENE 183 UP	23/230	8.639570042286314E-4	0.0021582331821383607	0	0	2.2036061351129845	15.54421025105514	EGR1;GRN;NDUFA7;GLDC;NDUFA1;DHCR24;HSPE1;COX5A;ACTB;ATP5F1E;COX6B1;RPS26;PSMB7;CHCHD2;TMEM256;EBP;ATP5F1B;PPA1;NDUFS6;LPCAT3;UQCRFS1;LAP3;CYC1
EBF1 OE MOUSE GSE2192 CREEDSID GENE 858 UP	25/259	8.818366668064878E-4	0.0022000809935287186	0	0	2.1202808689609114	14.913003345638916	LRRC59;SLC44A1;YBX1;RBM3;TRIM28;GNG5;PCBP1;LAMP2;CFL1;YWHAG;HSPA9;DFFA;PPP1R14B;NOP58;DDX51;HSPE1;RPS26;EEF1A1;NCL;SRSF2;CYCS;HPRT1;ANP32B;PABPC1;SLIRP
HOXC13 OE MOUSE GSE2374 CREEDSID GENE 201 UP	21/203	9.238009331760939E-4	0.0023018334873902415	0	0	2.2865809269594757	15.976372834055447	NDUFA9;LRRC59;ATP1B3;YBX1;EPN1;EEF1A1;COL4A2;POLR2A;COL4A1;SRSF2;ISOC1;GAS1;UQCRC2;ANP32B;PABPC1;SELENOT;DNAJC8;TOP1;SRSF6;DCAF12;SNRPB
OVOL1 KD BEWO HUMAN GSE66962 RNASEQ DOWN	28/304	9.311905876138125E-4	0.0023172867811665156	0	0	2.015229673298944	14.064381777168604	LRRC59;DHX9;OSBPL11;NID1;ACTB;WDR43;RBM3;SERP1;CFL1;ARL6IP5;COTL1;PAPOLA;QSOX1;ABCF1;SRRM2;HEXIM1;NSF;GDF15;PA2G4;TUBB4B;DYNLL2;MYL6;COL4A2;COL4A1;NCL;PSME4;CALR;SELENOT
IRX6 SIRNA MDAMB231 HUMAN GSE79586 RNASEQ DOWN	26/275	9.542904255177308E-4	0.002369669926549245	0	0	2.072790103330871	14.415306874617226	GRN;IQGAP1;LAMC1;HMGB1;YWHAQ;LAMP2;TPR;TIMP2;CYP1B1;TRIM25;PLS3;BUB3;HMGN2;TEAD1;CTSD;PARP4;CMTM6;NR2F2;EEF1A1;ASPM;RCN1;MYH9;KIF20A;PABPC1;SRSF6;ITM2B
SOX7 OE MOUSE GSE10809 CREEDSID GENE 1004 UP	24/246	9.546696885021562E-4	0.002369669926549245	0	0	2.1446002964990307	14.913861757506606	BEX3;RNASEK;RPL31;GSTP1;DHCR24;SHISA2;TBCA;ACTB;EEF1A1;SEM1;LAPTM4B;TMEM123;GJA1;MYL6;TUBA1B;MARCKS;TSPAN13;COL4A2;ZIC2;GNG5;COL4A1;CFL1;CPE;SELENOT
STAT1 KO MOUSE GSE38375 CREEDSID GENE 2476 UP	23/232	9.7189740590033E-4	0.002409367012594084	0	0	2.182287071256069	15.136911194236752	POM121;ANP32A;ICE1;CTBP1;GSTP1;RFLNB;ATP1B3;HMGB1;ACTB;SETX;EEF1A1;PNN;ATP5F1B;CNIH1;TSPAN13;YWHAQ;EIF3K;DHX15;COTL1;RSRP1;MYH9;ITM2B;RPS24
DDIT3 KO MOUSE GSE2082 CREEDSID GENE 1388 UP	28/306	0.0010292580299184797	0.0025471881096459513	0	0	2.0005182294842094	13.76139904891133	CSTB;ICE1;SLC20A1;RTN4;PSMD8;UCHL1;GNG5;LRRC8A;ARGLU1;CTSD;LDLR;YWHAH;MARCKSL1;NDFIP1;CAVIN1;ZFR;THAP12;RFLNB;CNIH1;COL4A2;RNF149;COL4A1;GNB2;CCDC6;MYH9;RELL1;TLN1;CACUL1
NFE2L2 KO MOUSE GSE8969 CREEDSID GENE 2190 DOWN	23/233	0.0010301032386010535	0.0025471881096459513	0	0	2.171779818355161	14.937710624697425	EGR1;GRN;NDUFA7;GLDC;NDUFA1;DHCR24;HSPE1;COX5A;ACTB;ATP5F1E;COX6B1;RPS26;PSMB7;CHCHD2;TMEM256;EBP;ATP5F1B;PPA1;NDUFS6;LPCAT3;UQCRFS1;LAP3;CYC1
CEBPA KD MOUSE GSE55760 CREEDSID GENE 2883 DOWN	27/292	0.0010743883685863122	0.0026499768737192103	0	0	2.0229649595687333	13.82899602702461	RPL31;POMP;NEDD8;PRPF19;PSMA7;ATP5IF1;PRDX2;PRDX4;ORC6;TRIM28;SNRPD1;PRKAR2B;PCBP1;ELOB;BRIX1;HNRNPA0;NDUFA7;UQCC2;PDAP1;RPS25;RSL1D1;PPA1;SBDS;ERH;SNRPF;SLC25A5;DCTPP1
TCF3 KO MOUSE GSE26788 CREEDSID GENE 1544 DOWN	27/292	0.0010743883685863122	0.0026499768737192103	0	0	2.0229649595687333	13.82899602702461	DCTN6;COX7B;TTYH3;RRP1;MSI2;PNN;TUBA1B;SPR;SNRPD1;MAGOH;ARL6IP5;PMPCB;SRRM2;GTF3A;CCZ1;NDUFA1;PA2G4;REXO2;ATP5F1E;RPS26;EEF1A1;SEM1;MRPL51;RSRP1;NDUFS3;PIN4;DNAJC8
NFE2L1 KO MOUSE GSE867 CREEDSID GENE 893 DOWN	19/178	0.001093338577769211	0.0026933125823582456	0	0	2.3659875797712617	16.132532091041526	NDUFA11;POMP;NEDD8;UQCR10;ATP5F1E;ATOX1;ATP5IF1;RPS26;PSMB6;NSA2;MRPL51;EIF3K;NCL;ATP5PO;ELOB;POLR2G;CTSD;RPS24;CTSC
YEATS2 SHRNA H1299 HUMAN GSE90781 RNASEQ UP	25/264	0.0011574283141679168	0.0028404309948951018	0	0	2.075371245023925	14.032736207505117	KMT2D;GRN;TMED10;GNS;COX7C;PSMD8;UCHL1;POLR2A;PSMB1;TIMP2;COTL1;QSOX1;CTSD;LDLR;YWHAG;CAVIN1;ZFR;IGF2R;DDOST;RCN1;MYH9;TLN1;ITM2B;RABL6;RAB7A
ZNF658 KD HUMAN GSE59385 CREEDSID GENE 2923 DOWN	25/264	0.0011574283141679168	0.0028404309948951018	0	0	2.075371245023925	14.032736207505117	YWHAE;GRN;POP7;SF3B3;GLDC;YBX1;RRP7A;PDLIM1;SLC9A3R1;EBP;TRIM28;SPIN1;QSOX2;ENTPD4;TPM3;ATP1B3;TUBB4B;FTSJ3;BOP1;RCN2;PPA1;CDC37;NCAPD2;CRK;RBMX
STAT3 SIRNA MDAMB157 HUMAN GSE85579 RNASEQ DOWN	25/264	0.0011574283141679168	0.0028404309948951018	0	0	2.075371245023925	14.032736207505117	GRN;NUCKS1;LAMC1;NID1;SOGA1;GNS;DCAF7;TMEM123;POLR2A;RAD21;LAMP2;TPR;PAPOLA;CYP1B1;HMGN2;CTSD;SRRM2;HLA-A;IGF2R;TGFBR1;ASPM;COL4A2;COL4A1;CALR;SNRNP200
NEUROD1 KO MOUSE GSE35396 CREEDSID GENE 3091 UP	20/193	0.0011835574937495157	0.002900905364705157	0	0	2.2896730946713943	15.430634870874455	TIMM8B;BEX3;TXNDC9;GSTP1;POMP;TMA7;NDUFA1;ATP1B3;MRPS6;MRPL32;ATP5F1E;HIGD2A;EEF1A1;CHCHD2;TMEM256;CNIH1;EIF3K;PSMA2;ARL6IP5;SPTSSA
MYB OE HUMAN GSE2815 CREEDSID GENE 1740 DOWN	15/126	0.0011887689785783089	0.0029100229325047435	0	0	2.671213533282499	17.990187682961533	HSPA9;WDR83OS;BEX3;SF3B5;PSMD14;TNFRSF12A;RPL31;ATXN7L3B;GHITM;EEF1A1;BAMBI;CFL1;ERH;SNRPF;RPS24
HIF1A MUT MOUSE GSE1321 CREEDSID GENE 791 DOWN	13/101	0.0012057177628485613	0.002947813728468099	0	0	2.9175751256043227	19.608089482394718	GSTM3;PPP1R14B;GSTP1;PRDX6;COX7C;EEF1A1;TUBA1B;TRIM28;UQCRQ;GNB2;CFL1;PABPC1;PTMA
ZNF217 SIRNA MCF7 HUMAN GSE58326 RNASEQ UP	22/222	0.0012457421342863325	0.003041855949928204	0	0	2.180084210526316	14.58045516200491	NOTCH2;TNFRSF12A;GREB1;ANXA5;IQGAP1;LAMC1;ACTB;RTN4;EEF1A1;PKIB;MYL6;KIAA1328;REEP5;POLR2A;ZNF703;ARL6IP5;ISOC1;MYH9;EIF3E;PABPC1;GLUL;SOX4
ZEB1 OE CFPAC1 HUMAN GSE64558 RNASEQ DOWN	24/251	0.0012601990092263391	0.0030712112732486515	0	0	2.096804773322924	13.999286931002866	EGR1;ANP32A;RPL31;ARHGAP18;NUCKS1;DHCR24;HMGB1;TUBB4B;TMEM123;ASPM;INF2;COL4A2;RPL36AL;COL4A1;NCL;TIMP2;SRSF2;KIF20A;PABPC1;HMGN2;PTMA;RBMX;RPS24;ARF6
TCF7 KO MOUSE GSE20754 CREEDSID GENE 3010 UP	20/194	0.0012609124704624141	0.0030712112732486515	0	0	2.2763933159470686	15.197018839935485	YWHAE;RNASEK;ANP32A;ATP1B3;ACTB;MRPS18C;COX6B1;KRTCAP2;MYL6;CFDP1;YWHAQ;RAD21;SUMO2;SRSF2;ANP32B;SPTSSA;CTSD;PTMA;ITM2B;ARF6
HEY2 KO MOUSE GSE6526 CREEDSID GENE 1509 UP	23/237	0.001294016849077204	0.003147913806171602	0	0	2.1307327930039492	14.169381728647112	EGR1;GRN;CAVIN1;FOXG1;HMGA2;MRPL13;MRPS6;ZFP36L2;SPCS3;MYL6;PPA1;OAF;PCBP1;CFL1;SUMO2;TIMM17A;EIF3E;EEF1E1;PTMA;ITM2B;RPS24;YWHAH;HNRNPA0
ZBTB7B KO MOUSE GSE17812 CREEDSID GENE 1681 UP	13/102	0.0013217024899087422	0.0032112597233025604	0	0	2.884641070403393	19.12180856011159	FEN1;NDUFA6;PDCD5;TMA7;KATNB1;EDF1;EEF1A1;PSMB6;C1QBP;SUMO2;ANP32B;RPS24;POLR2K
MITF KD H3A HUMAN GSE61966 RNASEQ DOWN	11/78	0.0013285362317507832	0.0032238484927186294	0	0	3.239334027055151	21.456303976265588	UCHL1;MYL6;RPL31;COL4A1;GSTP1;HLA-A;TXN;CALR;CTSD;GNS;DDOST
AIRE OE MOUSE GSE12073 CREEDSID GENE 1173 DOWN	20/195	0.0013425441683695694	0.0032537933819739503	0	0	2.263265306122449	14.9674008463776	SLC30A8;ATP5PB;GLRX5;LGALSL;GP2;TVP23B;RPS26;SPCS3;KRTCAP2;RIDA;SPCS2;PRDX4;SERP1;SPCS1;CNIH1;TSPAN13;TMX1;KLF9;KCTD12;SELENOT
